,MAE,MedAE,MedPE,RMSE,R2,RMSE_avg,RMSE_avg_weighted,CRPS
GLM_ignore_cat,0.5873530799184394,0.48878969675674705,0.3158161121032208,0.7627358898103302,0.054358086525816196,0.2613537296074068,0.21332687549341203,0.41305533645249926
GLM_one_hot,0.562903875352131,0.4571980568337571,0.29880879190303,0.7321888565615882,0.1285859084923887,0.027605989704274067,0.01253093620367595,0.39608216770663696
GLM_GLMM_enc,0.5730275691451563,0.4755956661173042,0.3058547945073934,0.7454342170792455,0.09677282271265297,0.1753492819479698,0.06954876047144493,0.40342394222961614
GBM_ignore_cat,0.5651910359400335,0.4726718415133223,0.2989508944134189,0.7345912351814653,0.12285814852611499,0.2559703168586601,0.20728408543782945,0.39774569282854966
GBM_one_hot,0.5579530043884224,0.4686201829376102,0.2985715907823522,0.7242595601379127,0.1473578032195516,0.22560959263624636,0.1465357651564676,0.39253121482528874
GBM_GLMM_enc,0.5507564361733411,0.45773508259647167,0.2973252983389803,0.7156193391827297,0.1675800387756201,0.17354449556640214,0.08022915890474473,0.3875580172375935
NN_ee,0.5631269853618089,0.4502288788630424,0.29852195949905413,0.7393711448193488,0.11140606691111166,0.16254502856445177,0.0931656705630974,0.40008229244668075
GBM_ee,0.55834267450182,0.4661109964219876,0.29937714991896325,0.7256715970360335,0.14402989165724123,0.23459507648982758,0.15844597782587375,0.3928207808483188
GLMM,0.564702844309354,0.4647647176491226,0.301222906509676,0.7344172679529906,0.123273551979863,0.15977469690932106,0.05301231163009522,0.3973500622622784
GPBoost,0.570653135576155,0.47430019217133845,0.30540406871722847,0.7431577764944587,0.10228103091014928,0.24202392272973708,0.18320266172434047,0.4022253641686233
GLMMNet,0.5568428660684769,0.458182222052755,0.2949812679894911,0.7264339029479615,0.14223058243061282,0.18481850476303038,0.10262417669089417,0.39254028662259627
GLMMNet_dropout,0.5368320643558658,0.4337957020171176,0.28709474371894333,0.7021979245066682,0.19851124835698053,0.16363857790275557,0.09297930134226512,0.3795835107061753
